Time [s],PIN_TASK_A,PIN_TASK_B
4.789104320,0,1
4.789105120,0,0
4.789106880,0,1
4.789107680,0,0
4.789109280,0,1
4.789110080,0,0
4.789111840,0,1
4.789112640,0,0
4.789114400,0,1
4.789115200,0,0
4.789115680,1,0
4.789116800,1,1
4.789117600,1,0
4.789119360,1,1
4.789120160,1,0
4.789120640,0,0
4.789121920,0,1
4.789122560,0,0
4.789124320,0,1
4.789125120,0,0
4.789126880,0,1
4.789127680,0,0
4.789129280,0,1
4.789130080,0,0
4.789131840,0,1
4.789132640,0,0
4.789134400,0,1
4.789135200,0,0
4.789136800,0,1
4.789137600,0,0
4.789139360,0,1
4.789140160,0,0
4.789141920,0,1
4.789142560,0,0
4.789144320,0,1
4.789145120,0,0
4.789146880,0,1
4.789147680,0,0
4.789149280,0,1
4.789150080,0,0
4.789151840,0,1
4.789152640,0,0
4.789154400,0,1
4.789155200,0,0
4.789156800,0,1
4.789157600,0,0
4.789159360,0,1
4.789160160,0,0
4.789161920,0,1
4.789162560,0,0
4.789164320,0,1
4.789165120,0,0
4.789166880,0,1
4.789167680,0,0
4.789169280,0,1
4.789170080,0,0
4.789171840,0,1
4.789172640,0,0
4.789174400,0,1
4.789175200,0,0
4.789176800,0,1
4.789177600,0,0
4.789179360,0,1
4.789180160,0,0
4.789181920,0,1
4.789182560,0,0
4.789184320,0,1
4.789185120,0,0
4.789186880,0,1
4.789187680,0,0
4.789189280,0,1
4.789190080,0,0
4.789191840,0,1
4.789192640,0,0
4.789194400,0,1
4.789195200,0,0
4.789196800,0,1
4.789197600,0,0
4.789199360,0,1
4.789200160,0,0
4.789201760,0,1
4.789202560,0,0
4.789204320,0,1
4.789205120,0,0
4.789206880,0,1
4.789207680,0,0
4.789209280,0,1
4.789210080,0,0
4.789211840,0,1
4.789212640,0,0
4.789214400,0,1
4.789215200,0,0
4.789216800,0,1
4.789217600,0,0
4.789219360,0,1
4.789220160,0,0
4.789221760,0,1
4.789222560,0,0
4.789224320,0,1
4.789225120,0,0
4.789226880,0,1
4.789227680,0,0
4.789229280,0,1
4.789230080,0,0
4.789231840,0,1
4.789232640,0,0
4.789234400,0,1
4.789235200,0,0
4.789236800,0,1
4.789237600,0,0
4.789239360,0,1
4.789240160,0,0
4.789241760,0,1
4.789242560,0,0
4.789244320,0,1
4.789245120,0,0
4.789246880,0,1
4.789247680,0,0
4.789249280,0,1
4.789250080,0,0
4.789251840,0,1
4.789252640,0,0
